,path,speakerId,transcription,intent,intentLbl
73,../smart-lights-en-close-field/speech_corpus/audio/98.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you please change the brightness in the lounge to thirty nine?,SetLightBrightness,2
77,../smart-lights-en-close-field/speech_corpus/audio/1196.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn off the lights to the toilets.,SwitchLightOff,4
78,../smart-lights-en-close-field/speech_corpus/audio/626.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Kill the lights in the bedroom.,SwitchLightOff,4
79,../smart-lights-en-close-field/speech_corpus/audio/996.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Set the brightness level to seventy-three,SetLightBrightness,2
83,../smart-lights-en-close-field/speech_corpus/audio/1127.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn backyard lights off,SwitchLightOff,4
91,../smart-lights-en-close-field/speech_corpus/audio/273.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Eliminate the entrance lights from shining,SwitchLightOff,4
96,../smart-lights-en-close-field/speech_corpus/audio/826.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Please change the brightness level in the backyard to fifty.,SetLightBrightness,2
112,../smart-lights-en-close-field/speech_corpus/audio/92.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you make the lights green?,SetLightColor,3
115,../smart-lights-en-close-field/speech_corpus/audio/568.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"In the your cellar, set the brightness of the light bulbs to twelve. ",SetLightBrightness,2
125,../smart-lights-en-close-field/speech_corpus/audio/418.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the house lights to be pink.,SetLightColor,3
144,../smart-lights-en-close-field/speech_corpus/audio/410.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the cellar lights on,SwitchLightOn,5
146,../smart-lights-en-close-field/speech_corpus/audio/938.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"Please, set the brightness of the light bulbs to seventy-three. ",SetLightBrightness,2
149,../smart-lights-en-close-field/speech_corpus/audio/101.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you please lower the lights for me,DecreaseBrightness,0
164,../smart-lights-en-close-field/speech_corpus/audio/425.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the light in the lounge to turn on,SwitchLightOn,5
0,../smart-lights-en-close-field/speech_corpus/audio/1341.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn vestibule lighting on,SwitchLightOn,5
1,../smart-lights-en-close-field/speech_corpus/audio/215.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Color the lights red,SetLightColor,3
3,../smart-lights-en-close-field/speech_corpus/audio/276.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Ensure the lights are off in the waiting room,SwitchLightOff,4
22,../smart-lights-en-close-field/speech_corpus/audio/717.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Make the boardroom light to twelve,SetLightBrightness,2
28,../smart-lights-en-close-field/speech_corpus/audio/570.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Increase brightness to fifty.,SetLightBrightness,2
38,../smart-lights-en-close-field/speech_corpus/audio/1205.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn on lights in the cellar,SwitchLightOn,5
43,../smart-lights-en-close-field/speech_corpus/audio/1340.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn up the lights. ,IncreaseBrightness,1
48,../smart-lights-en-close-field/speech_corpus/audio/1225.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn on the lights.,SwitchLightOn,5
76,../smart-lights-en-close-field/speech_corpus/audio/1200.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn on all the lights in the entire house.,SwitchLightOn,5
78,../smart-lights-en-close-field/speech_corpus/audio/320.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I don't want it to be this bright,DecreaseBrightness,0
83,../smart-lights-en-close-field/speech_corpus/audio/118.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you stop the lighting?,SwitchLightOff,4
93,../smart-lights-en-close-field/speech_corpus/audio/5.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Activate the lights.,SwitchLightOn,5
97,../smart-lights-en-close-field/speech_corpus/audio/54.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can the lights be red instead?,SetLightColor,3
103,../smart-lights-en-close-field/speech_corpus/audio/419.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the kids bedroom to be set to level fifty.,SetLightBrightness,2
104,../smart-lights-en-close-field/speech_corpus/audio/1107.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"The light in the parking lot should be pink
",SetLightColor,3
117,../smart-lights-en-close-field/speech_corpus/audio/358.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I need the lights to be blue.,SetLightColor,3
120,../smart-lights-en-close-field/speech_corpus/audio/1080.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Switch the toilet light to red,SetLightColor,3
124,../smart-lights-en-close-field/speech_corpus/audio/395.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want my cubicle lights to be on two.,SetLightBrightness,2
129,../smart-lights-en-close-field/speech_corpus/audio/487.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want you to switch off all the lights in my cubicle.,SwitchLightOff,4
134,../smart-lights-en-close-field/speech_corpus/audio/812.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"Ok google, turn off lights",SwitchLightOff,4
139,../smart-lights-en-close-field/speech_corpus/audio/1508.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,make the lights go off,SwitchLightOff,4
142,../smart-lights-en-close-field/speech_corpus/audio/650.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"Lights on, now",SwitchLightOn,5
143,../smart-lights-en-close-field/speech_corpus/audio/422.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the light bulbs to be at level thirty nine.,SetLightBrightness,2
148,../smart-lights-en-close-field/speech_corpus/audio/146.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Change laundry room lights to five please.,SetLightBrightness,2
162,../smart-lights-en-close-field/speech_corpus/audio/540.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I'd prefer if the lights were on now,SwitchLightOn,5
7,../smart-lights-en-close-field/speech_corpus/audio/350.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need the light to be increased,IncreaseBrightness,1
15,../smart-lights-en-close-field/speech_corpus/audio/95.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you please brighten this room up a bit?,IncreaseBrightness,1
33,../smart-lights-en-close-field/speech_corpus/audio/1220.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the lights in the entrance,SwitchLightOn,5
56,../smart-lights-en-close-field/speech_corpus/audio/1387.wav,4373a208-efd7-4eea-9440-94f52145cd78,change lamp to pink,SetLightColor,3
75,../smart-lights-en-close-field/speech_corpus/audio/1408.wav,4373a208-efd7-4eea-9440-94f52145cd78,dim the bed room lights ,DecreaseBrightness,0
86,../smart-lights-en-close-field/speech_corpus/audio/516.wav,4373a208-efd7-4eea-9440-94f52145cd78,I'd like the brightness turned down.,DecreaseBrightness,0
87,../smart-lights-en-close-field/speech_corpus/audio/467.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the toilet lights off,SwitchLightOff,4
93,../smart-lights-en-close-field/speech_corpus/audio/399.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the bathroom to be more dim,DecreaseBrightness,0
116,../smart-lights-en-close-field/speech_corpus/audio/1188.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn off the lights in the entire flat,SwitchLightOff,4
118,../smart-lights-en-close-field/speech_corpus/audio/460.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the lights turned down in the bed room,DecreaseBrightness,0
122,../smart-lights-en-close-field/speech_corpus/audio/883.wav,4373a208-efd7-4eea-9440-94f52145cd78,"Please set the toilets room light to two
",SetLightBrightness,2
123,../smart-lights-en-close-field/speech_corpus/audio/1213.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the entrance lights,SwitchLightOn,5
124,../smart-lights-en-close-field/speech_corpus/audio/349.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need the light to be brighter,IncreaseBrightness,1
126,../smart-lights-en-close-field/speech_corpus/audio/195.wav,4373a208-efd7-4eea-9440-94f52145cd78,Change the lights in the parking room,SwitchLightOff,4
133,../smart-lights-en-close-field/speech_corpus/audio/338.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need my bedroom lights lower. ,DecreaseBrightness,0
150,../smart-lights-en-close-field/speech_corpus/audio/1064.wav,4373a208-efd7-4eea-9440-94f52145cd78,Switch off all exterior lighting.,SwitchLightOff,4
159,../smart-lights-en-close-field/speech_corpus/audio/1540.wav,4373a208-efd7-4eea-9440-94f52145cd78,please some light,SwitchLightOn,5
165,../smart-lights-en-close-field/speech_corpus/audio/927.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please turn the lights down.,DecreaseBrightness,0
180,../smart-lights-en-close-field/speech_corpus/audio/1375.wav,4373a208-efd7-4eea-9440-94f52145cd78,can you please turn on the lights?,SwitchLightOn,5
182,../smart-lights-en-close-field/speech_corpus/audio/1224.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the lights please,SwitchLightOn,5
190,../smart-lights-en-close-field/speech_corpus/audio/623.wav,4373a208-efd7-4eea-9440-94f52145cd78,It's too dark in the waiting room,IncreaseBrightness,1
199,../smart-lights-en-close-field/speech_corpus/audio/1197.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn off the lounge lights.,SwitchLightOff,4
203,../smart-lights-en-close-field/speech_corpus/audio/857.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please lower the brightness for me,DecreaseBrightness,0
205,../smart-lights-en-close-field/speech_corpus/audio/1554.wav,4373a208-efd7-4eea-9440-94f52145cd78,please turn off the lights,SwitchLightOff,4
229,../smart-lights-en-close-field/speech_corpus/audio/539.wav,4373a208-efd7-4eea-9440-94f52145cd78,I'd like to lower the lights in the bed room,DecreaseBrightness,0
239,../smart-lights-en-close-field/speech_corpus/audio/1433.wav,4373a208-efd7-4eea-9440-94f52145cd78,"i cannot stand darkness, turn up the brightness now",IncreaseBrightness,1
242,../smart-lights-en-close-field/speech_corpus/audio/587.wav,4373a208-efd7-4eea-9440-94f52145cd78,Increase the cubicle's light intensity.,IncreaseBrightness,1
267,../smart-lights-en-close-field/speech_corpus/audio/1435.wav,4373a208-efd7-4eea-9440-94f52145cd78,i need lights on in the kids room,SwitchLightOn,5
272,../smart-lights-en-close-field/speech_corpus/audio/1656.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn the lights down,DecreaseBrightness,0
276,../smart-lights-en-close-field/speech_corpus/audio/227.wav,4373a208-efd7-4eea-9440-94f52145cd78,Cut the waiting room lights.,SwitchLightOff,4
282,../smart-lights-en-close-field/speech_corpus/audio/445.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the lights on at the two setting,SwitchLightOn,5
290,../smart-lights-en-close-field/speech_corpus/audio/109.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you set the bathroom brightness level to thirty nine?,SetLightBrightness,2
298,../smart-lights-en-close-field/speech_corpus/audio/133.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you turn the brightness down in the backyard,DecreaseBrightness,0
303,../smart-lights-en-close-field/speech_corpus/audio/1379.wav,4373a208-efd7-4eea-9440-94f52145cd78,can you turn off the kids bedroom lights?,SwitchLightOff,4
304,../smart-lights-en-close-field/speech_corpus/audio/1297.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on in the small meeting room,SwitchLightOn,5
306,../smart-lights-en-close-field/speech_corpus/audio/911.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please turn off the lights in this room.,SwitchLightOff,4
310,../smart-lights-en-close-field/speech_corpus/audio/1290.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on everywhere,SwitchLightOn,5
311,../smart-lights-en-close-field/speech_corpus/audio/189.wav,4373a208-efd7-4eea-9440-94f52145cd78,Change the lighting to fifty. in the facilities,SetLightBrightness,2
313,../smart-lights-en-close-field/speech_corpus/audio/645.wav,4373a208-efd7-4eea-9440-94f52145cd78,Lights more intense please,IncreaseBrightness,1
329,../smart-lights-en-close-field/speech_corpus/audio/1145.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn down the lighting in the kids bedroom.,DecreaseBrightness,0
340,../smart-lights-en-close-field/speech_corpus/audio/1277.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights in the waiting room to thirty nine,SetLightBrightness,2
352,../smart-lights-en-close-field/speech_corpus/audio/1195.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn off the lights to the basement,SwitchLightOff,4
358,../smart-lights-en-close-field/speech_corpus/audio/1495.wav,4373a208-efd7-4eea-9440-94f52145cd78,lower the light in the children's play room,DecreaseBrightness,0
360,../smart-lights-en-close-field/speech_corpus/audio/64.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you change the lighting in the bathroom?,SwitchLightOff,4
362,../smart-lights-en-close-field/speech_corpus/audio/627.wav,4373a208-efd7-4eea-9440-94f52145cd78,Kill the lights in the entire appartment,SwitchLightOff,4
367,../smart-lights-en-close-field/speech_corpus/audio/750.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make the light in the bed room brighter,IncreaseBrightness,1
369,../smart-lights-en-close-field/speech_corpus/audio/1373.wav,4373a208-efd7-4eea-9440-94f52145cd78,can you make the bed room a little darker if possible,DecreaseBrightness,0
377,../smart-lights-en-close-field/speech_corpus/audio/667.wav,4373a208-efd7-4eea-9440-94f52145cd78,"Lower the lights in my bed room, please. ",DecreaseBrightness,0
379,../smart-lights-en-close-field/speech_corpus/audio/941.wav,4373a208-efd7-4eea-9440-94f52145cd78,Power on the lights,SwitchLightOn,5
385,../smart-lights-en-close-field/speech_corpus/audio/968.wav,4373a208-efd7-4eea-9440-94f52145cd78,Reduce brightness,DecreaseBrightness,0
387,../smart-lights-en-close-field/speech_corpus/audio/1650.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn the brightness down,DecreaseBrightness,0
398,../smart-lights-en-close-field/speech_corpus/audio/1559.wav,4373a208-efd7-4eea-9440-94f52145cd78,put on the serial bulbs in the dining room,SwitchLightOn,5
402,../smart-lights-en-close-field/speech_corpus/audio/682.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make it brighter in the dining room,IncreaseBrightness,1
414,../smart-lights-en-close-field/speech_corpus/audio/479.wav,4373a208-efd7-4eea-9440-94f52145cd78,"I want to lower my appartment lights, please. ",DecreaseBrightness,0
418,../smart-lights-en-close-field/speech_corpus/audio/1208.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on my patio lights please,SwitchLightOn,5
446,../smart-lights-en-close-field/speech_corpus/audio/186.wav,4373a208-efd7-4eea-9440-94f52145cd78,Change the light to pink?,SetLightColor,3
462,../smart-lights-en-close-field/speech_corpus/audio/332.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need lighting,SwitchLightOn,5
463,../smart-lights-en-close-field/speech_corpus/audio/1293.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on in the changing room,SwitchLightOn,5
466,../smart-lights-en-close-field/speech_corpus/audio/1289.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on above the toilets,SwitchLightOn,5
472,../smart-lights-en-close-field/speech_corpus/audio/686.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make it dark,SwitchLightOff,4
489,../smart-lights-en-close-field/speech_corpus/audio/622.wav,4373a208-efd7-4eea-9440-94f52145cd78,It's too dark in the bedroom,IncreaseBrightness,1
505,../smart-lights-en-close-field/speech_corpus/audio/914.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please turn on my parking lights,SwitchLightOn,5
512,../smart-lights-en-close-field/speech_corpus/audio/63.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you change the light in the garden to pink,SetLightColor,3
519,../smart-lights-en-close-field/speech_corpus/audio/1292.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on in the bedroom,SwitchLightOn,5
533,../smart-lights-en-close-field/speech_corpus/audio/832.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please change the lighting to twelve in the shed,SetLightBrightness,2
535,../smart-lights-en-close-field/speech_corpus/audio/116.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you shut off the house lights.,SwitchLightOff,4
547,../smart-lights-en-close-field/speech_corpus/audio/1217.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the lights in the bathroom,SwitchLightOn,5
558,../smart-lights-en-close-field/speech_corpus/audio/1553.wav,4373a208-efd7-4eea-9440-94f52145cd78,please turn off the house lights,SwitchLightOff,4
575,../smart-lights-en-close-field/speech_corpus/audio/1124.wav,4373a208-efd7-4eea-9440-94f52145cd78,Tone down the brightness in the laundry room.,DecreaseBrightness,0
579,../smart-lights-en-close-field/speech_corpus/audio/680.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make it brighter in the changing room,IncreaseBrightness,1
583,../smart-lights-en-close-field/speech_corpus/audio/1551.wav,4373a208-efd7-4eea-9440-94f52145cd78,please turn off lights everywhere,SwitchLightOff,4
594,../smart-lights-en-close-field/speech_corpus/audio/1538.wav,4373a208-efd7-4eea-9440-94f52145cd78,please need some light,SwitchLightOn,5
600,../smart-lights-en-close-field/speech_corpus/audio/1140.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn down the light in the bedroom.,DecreaseBrightness,0
604,../smart-lights-en-close-field/speech_corpus/audio/1539.wav,4373a208-efd7-4eea-9440-94f52145cd78,please need some light in the kitchen,SwitchLightOn,5
608,../smart-lights-en-close-field/speech_corpus/audio/137.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you turn the cubicle lights to twenty two,SetLightBrightness,2
609,../smart-lights-en-close-field/speech_corpus/audio/1085.wav,4373a208-efd7-4eea-9440-94f52145cd78,"The bed room light are too bright, lower the brightness",DecreaseBrightness,0
613,../smart-lights-en-close-field/speech_corpus/audio/1378.wav,4373a208-efd7-4eea-9440-94f52145cd78,can you turn off the house lights,SwitchLightOff,4
625,../smart-lights-en-close-field/speech_corpus/audio/895.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please turn down the brightness,SwitchLightOff,4
631,../smart-lights-en-close-field/speech_corpus/audio/1126.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn all the lights down please.,DecreaseBrightness,0
633,../smart-lights-en-close-field/speech_corpus/audio/662.wav,4373a208-efd7-4eea-9440-94f52145cd78,Lower the brightness in the facilities room.,DecreaseBrightness,0
635,../smart-lights-en-close-field/speech_corpus/audio/672.wav,4373a208-efd7-4eea-9440-94f52145cd78,Lower the lights. ,DecreaseBrightness,0
636,../smart-lights-en-close-field/speech_corpus/audio/1555.wav,4373a208-efd7-4eea-9440-94f52145cd78,please turn off the lights of kids room,SwitchLightOff,4
638,../smart-lights-en-close-field/speech_corpus/audio/605.wav,4373a208-efd7-4eea-9440-94f52145cd78,Is is possible to turn down the brightness?,DecreaseBrightness,0
642,../smart-lights-en-close-field/speech_corpus/audio/945.wav,4373a208-efd7-4eea-9440-94f52145cd78,Power the lamps to two percent,SetLightBrightness,2
666,../smart-lights-en-close-field/speech_corpus/audio/589.wav,4373a208-efd7-4eea-9440-94f52145cd78,Increase the intensity of the lighting please,IncreaseBrightness,1
678,../smart-lights-en-close-field/speech_corpus/audio/1008.wav,4373a208-efd7-4eea-9440-94f52145cd78,Set the entrance lighting intensity to twelve,SetLightBrightness,2
683,../smart-lights-en-close-field/speech_corpus/audio/1606.wav,4373a208-efd7-4eea-9440-94f52145cd78,the lights need to be blue in the studio,SetLightColor,3
699,../smart-lights-en-close-field/speech_corpus/audio/1291.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on in the appartment.,SwitchLightOn,5
710,../smart-lights-en-close-field/speech_corpus/audio/1546.wav,4373a208-efd7-4eea-9440-94f52145cd78,please switch off the studio lights,SwitchLightOff,4
729,../smart-lights-en-close-field/speech_corpus/audio/235.wav,4373a208-efd7-4eea-9440-94f52145cd78,Decrease lights in house.,DecreaseBrightness,0
731,../smart-lights-en-close-field/speech_corpus/audio/524.wav,4373a208-efd7-4eea-9440-94f52145cd78,"I'd like the lights off in the vestibule
",SwitchLightOff,4
736,../smart-lights-en-close-field/speech_corpus/audio/1597.wav,4373a208-efd7-4eea-9440-94f52145cd78,"the backyard is too bright, can you turn it down a little",DecreaseBrightness,0
742,../smart-lights-en-close-field/speech_corpus/audio/313.wav,4373a208-efd7-4eea-9440-94f52145cd78,Help me set the lights to twenty,SetLightBrightness,2
745,../smart-lights-en-close-field/speech_corpus/audio/225.wav,4373a208-efd7-4eea-9440-94f52145cd78,Could you turn the lights on please,SwitchLightOn,5
758,../smart-lights-en-close-field/speech_corpus/audio/619.wav,4373a208-efd7-4eea-9440-94f52145cd78,"It's too bright, please make it darker",DecreaseBrightness,0
764,../smart-lights-en-close-field/speech_corpus/audio/1522.wav,4373a208-efd7-4eea-9440-94f52145cd78,patio lights please,SwitchLightOn,5
777,../smart-lights-en-close-field/speech_corpus/audio/394.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want my child's bedroom to have a green light?,SetLightColor,3
788,../smart-lights-en-close-field/speech_corpus/audio/708.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make sure there are no lights on,SwitchLightOff,4
802,../smart-lights-en-close-field/speech_corpus/audio/1473.wav,4373a208-efd7-4eea-9440-94f52145cd78,light on in the bathroom,SwitchLightOn,5
808,../smart-lights-en-close-field/speech_corpus/audio/1623.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn down lighting in the pantry,DecreaseBrightness,0
810,../smart-lights-en-close-field/speech_corpus/audio/1563.wav,4373a208-efd7-4eea-9440-94f52145cd78,select green light,SetLightColor,3
812,../smart-lights-en-close-field/speech_corpus/audio/1229.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the spotlight in the room,SwitchLightOn,5
821,../smart-lights-en-close-field/speech_corpus/audio/39.wav,4373a208-efd7-4eea-9440-94f52145cd78,Be sure the lights are off by the toilet,SwitchLightOff,4
824,../smart-lights-en-close-field/speech_corpus/audio/441.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the lights off,SwitchLightOff,4
842,../smart-lights-en-close-field/speech_corpus/audio/629.wav,4373a208-efd7-4eea-9440-94f52145cd78,Lessen the brightness of the lights in the bed room. ,DecreaseBrightness,0
857,../smart-lights-en-close-field/speech_corpus/audio/1627.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn down the lights a tad bit please,DecreaseBrightness,0
860,../smart-lights-en-close-field/speech_corpus/audio/393.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want more light in the bathroom,IncreaseBrightness,1
864,../smart-lights-en-close-field/speech_corpus/audio/995.wav,4373a208-efd7-4eea-9440-94f52145cd78,Set the brightness level of light to twenty,SetLightBrightness,2
867,../smart-lights-en-close-field/speech_corpus/audio/754.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make the lighting brighter in here.,IncreaseBrightness,1
876,../smart-lights-en-close-field/speech_corpus/audio/106.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you raise the lights in the toilets,IncreaseBrightness,1
880,../smart-lights-en-close-field/speech_corpus/audio/1295.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn the lights on in the meeting room,SwitchLightOn,5
886,../smart-lights-en-close-field/speech_corpus/audio/1070.wav,4373a208-efd7-4eea-9440-94f52145cd78,Switch on my backyard lighting,SwitchLightOn,5
890,../smart-lights-en-close-field/speech_corpus/audio/1489.wav,4373a208-efd7-4eea-9440-94f52145cd78,living room lights on for now please,SwitchLightOn,5
898,../smart-lights-en-close-field/speech_corpus/audio/271.wav,4373a208-efd7-4eea-9440-94f52145cd78,Do turn on my bed room lights now,SwitchLightOn,5
900,../smart-lights-en-close-field/speech_corpus/audio/4.wav,4373a208-efd7-4eea-9440-94f52145cd78,Activate the lights in the waiting room.,SwitchLightOn,5
913,../smart-lights-en-close-field/speech_corpus/audio/317.wav,4373a208-efd7-4eea-9440-94f52145cd78,"Hey, let's get the light brightness lower in here. ",DecreaseBrightness,0
916,../smart-lights-en-close-field/speech_corpus/audio/859.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please lower the lights.,DecreaseBrightness,0
942,../smart-lights-en-close-field/speech_corpus/audio/591.wav,4373a208-efd7-4eea-9440-94f52145cd78,Increase the light in the changing room,IncreaseBrightness,1
950,../smart-lights-en-close-field/speech_corpus/audio/0.wav,4373a208-efd7-4eea-9440-94f52145cd78,Activate all the lights in the entire house.,SwitchLightOn,5
971,../smart-lights-en-close-field/speech_corpus/audio/1364.wav,4373a208-efd7-4eea-9440-94f52145cd78,brighten lights in kitchen,IncreaseBrightness,1
974,../smart-lights-en-close-field/speech_corpus/audio/684.wav,4373a208-efd7-4eea-9440-94f52145cd78,Make it brighter in the living room,IncreaseBrightness,1
982,../smart-lights-en-close-field/speech_corpus/audio/637.wav,4373a208-efd7-4eea-9440-94f52145cd78,"Lets lower the lights, please. ",DecreaseBrightness,0
999,../smart-lights-en-close-field/speech_corpus/audio/942.wav,4373a208-efd7-4eea-9440-94f52145cd78,Power on the lights in the bedroom,SwitchLightOn,5
1007,../smart-lights-en-close-field/speech_corpus/audio/1228.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the pantry lights,SwitchLightOn,5
1008,../smart-lights-en-close-field/speech_corpus/audio/293.wav,4373a208-efd7-4eea-9440-94f52145cd78,"Google, please shut off all lights",SwitchLightOff,4
1050,../smart-lights-en-close-field/speech_corpus/audio/107.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you set a pink light in the basement?,SetLightColor,3
1073,../smart-lights-en-close-field/speech_corpus/audio/1643.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn on the garden lights,SwitchLightOn,5
1075,../smart-lights-en-close-field/speech_corpus/audio/948.wav,4373a208-efd7-4eea-9440-94f52145cd78,Put lights at a higher intensity please,IncreaseBrightness,1
1095,../smart-lights-en-close-field/speech_corpus/audio/1660.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn the tree lights pink,SetLightColor,3
1098,../smart-lights-en-close-field/speech_corpus/audio/34.wav,4373a208-efd7-4eea-9440-94f52145cd78,Augment the brightness of the lights,IncreaseBrightness,1
1105,../smart-lights-en-close-field/speech_corpus/audio/443.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the lights off in the meeting room,SwitchLightOff,4
1111,../smart-lights-en-close-field/speech_corpus/audio/1662.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn up lights in flat,IncreaseBrightness,1
1122,../smart-lights-en-close-field/speech_corpus/audio/530.wav,4373a208-efd7-4eea-9440-94f52145cd78,I'd like the lights to change in the large meeting room,SwitchLightOff,4
1142,../smart-lights-en-close-field/speech_corpus/audio/1657.wav,4373a208-efd7-4eea-9440-94f52145cd78,turn the lights off,SwitchLightOff,4
1158,../smart-lights-en-close-field/speech_corpus/audio/1449.wav,4373a208-efd7-4eea-9440-94f52145cd78,increase lighting in the garage,IncreaseBrightness,1
1168,../smart-lights-en-close-field/speech_corpus/audio/1141.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn down the light in the loo.,DecreaseBrightness,0
1173,../smart-lights-en-close-field/speech_corpus/audio/905.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please turn off the cellar lights.,SwitchLightOff,4
